"","parent","child","pvalue"
"389","FTH1","CENPF",0.530477533131644
"390","FTH1","SFPQ",0.80908956425806
"391","FTH1","NME1",0.0155085636858941
"392","FTH1","ATP5F1D",0.541224124351742
"393","FTH1","HSPA5",0.133660433798997
"394","FTH1","PTGES3",0.594694705949257
"395","FTH1","NASP",0.477776282319986
"396","FTH1","ATP5PF",0.697356784951483
"397","FTH1","LDHA",0.567361833508081
"398","FTH1","CCT8",0.172932568779647
"399","FTH1","CALR",0.192044137171599
"400","FTH1","GPX4",0.349440181039746
"401","YBX1","EEF1A1",0.0349466812094991
"402","YBX1","FTL",0.0154028391134192
"403","YBX1","NPM1",0.720665728514975
"404","YBX1","FTH1",0.491174660751745
"405","YBX1","YBX1",1.34203515916854e-306
"406","YBX1","HBG2",0.22650134432735
"407","YBX1","RACK1",0.431470491007694
"408","YBX1","PTMA",4.66477198202643e-08
"409","YBX1","TPT1",0.0467588915378255
"410","YBX1","HSP90AB1",0.223494441286036
"411","YBX1","HBZ",0.0334100905973918
"412","YBX1","RANBP1",0.469605458090913
"413","YBX1","GAPDH",0.244063588532267
"414","YBX1","HIST1H4C",0.50313274239117
"415","YBX1","GSTP1",0.907773676264216
"416","YBX1","ACTB",0.733870137241795
"417","YBX1","TUBA1B",0.580121977655579
"418","YBX1","GP1BB",0.000690685047879843
"419","YBX1","UQCRH",0.202454835668003
"420","YBX1","H3F3A",0.0973947682107762
"421","YBX1","NCL",0.877823867055623
"422","YBX1","UBA52",0.87671250033588
"423","YBX1","NACA",0.0430069333986373
"424","YBX1","HSPD1",0.869782260138874
"425","YBX1","HSP90AA1",0.707056603496498
"426","YBX1","HIST1H1C",0.998812063280769
"427","YBX1","EEF1G",0.025699056044672
"428","YBX1","EEF1B2",0.000309123422967928
"429","YBX1","EEF2",0.0654247517707972
"430","YBX1","APOE",0.036426576663975
"431","YBX1","FAU",0.146328549626235
"432","YBX1","PRDX1",0.0546263405544784
"433","YBX1","HMGB1",0.520957829718802
"434","YBX1","VIM",0.509969948437
"435","YBX1","SET",0.177030730713304
"436","YBX1","H2AFZ",0.336545359802676
"437","YBX1","TUBB",0.985771809539044
"438","YBX1","RAN",0.753324160289304
"439","YBX1","HNRNPA2B1",0.0812037618855891
"440","YBX1","CHCHD2",0.987924306339825
"441","YBX1","PPIA",0.0123657992518073
"442","YBX1","OAZ1",0.00125106819663733
"443","YBX1","ENO1",0.794206602077834
"444","YBX1","BTF3",0.558991147959709
"445","YBX1","HSPA8",0.927972046224605
"446","YBX1","ACTG1",0.131669083979647
"447","YBX1","MIF",0.0181671359689034
"448","YBX1","TMSB4X",0.838800842672539
"449","YBX1","HNRNPA1",0.0860045895876788
"450","YBX1","EIF1",0.884156559716723
"451","YBX1","HINT1",0.304521026979823
"452","YBX1","HMGA1",0.000888592378742249
"453","YBX1","ANP32B",0.75493382316378
"454","YBX1","HSPE1",0.263234273519881
"455","YBX1","ATP5MC3",0.311516457610279
"456","YBX1","SERBP1",0.991681288328407
"457","YBX1","H3F3B",0.103717611481606
"458","YBX1","PABPC1",0.672609151170276
"459","YBX1","HNRNPU",0.144462599154253
"460","YBX1","HBG1",0.250033439300765
"461","YBX1","UBE2L3",0.308464026784031
